Date, Close/Last, Volume, Open, High, Low
2020-09-17,110.34,178011000,109.72,112.2,108.71
2020-09-16,112.13,155026700,115.23,116.0,112.04
2020-09-15,115.54,184642000,118.33,118.829,113.61
2020-09-14,115.355,140150100,114.72,115.93,112.8
2020-09-11,112.0,180860300,114.57,115.23,110.0
2020-09-10,113.49,182274400,120.36,120.5,112.5
2020-09-09,117.32,176940500,117.26,119.14,115.26
2020-09-08,112.82,231366600,113.95,118.99,112.68
2020-09-04,120.96,332607200,120.07,123.7,110.89
2020-09-03,120.88,257599600,126.91,128.84,120.5
2020-09-02,131.4,200119000,137.59,137.98,127.0
2020-09-01,134.18,152470100,132.76,134.8,130.53
2020-08-31,129.04,225702700,127.58,131.0,126.0
2020-08-28,124.8075,187629920,126.0125,126.4425,124.5775
2020-08-27,125.01,155552400,127.1425,127.485,123.8325
2020-08-26,126.5225,163022280,126.1793,126.9925,125.0825
2020-08-25,124.825,211495800,124.6975,125.1793,123.0525
2020-08-24,125.8575,345937760,128.6975,128.785,123.9363
2020-08-21,124.37,338054640,119.2625,124.868,119.25
2020-08-20,118.275,126907200,115.75,118.39200000000001,115.7334
2020-08-19,115.7075,145538000,115.9833,117.1625,115.61
2020-08-18,115.5625,105633560,114.3525,116.0,114.0075
2020-08-17,114.6075,119561440,116.0625,116.0875,113.9625
2020-08-14,114.9075,165565200,114.8288,115.0,113.045
2020-08-13,115.01,210082080,114.43,116.0425,113.9275
2020-08-12,113.01,165944840,110.4975,113.275,110.2975
2020-08-11,109.375,187902360,111.9688,112.4825,109.1067
2020-08-10,112.7275,212403440,112.6,113.775,110.0
2020-08-07,111.1125,198045600,113.205,113.675,110.2925
2020-08-06,113.9025,202428920,110.405,114.4125,109.7975
2020-08-05,110.0625,121991960,109.3775,110.3925,108.8975
2020-08-04,109.665,172792360,109.1325,110.79,108.3875
2020-08-03,108.9375,308151400,108.2,111.6364,107.8925
2020-07-31,106.26,374295480,102.8838,106.415,100.825
2020-07-30,96.19,158130040,94.1875,96.2975,93.7675
2020-07-29,95.04,90329240,93.75,95.23,93.7125
2020-07-28,93.2525,103625520,94.3675,94.5497,93.2475
2020-07-27,94.81,121214200,93.71,94.905,93.48
2020-07-24,92.615,185438880,90.9875,92.97,89.145
2020-07-23,92.845,197004440,96.9985,97.0775,92.0097
2020-07-22,97.2725,89001640,96.6925,97.975,96.6025
2020-07-21,97.0,103645840,99.1725,99.25,96.7425
2020-07-20,98.3575,90317920,96.4163,98.5,96.0625
2020-07-17,96.3275,92186920,96.9875,97.1475,95.84
2020-07-16,96.5225,110577680,96.5625,97.405,95.905
2020-07-15,97.725,153197920,98.99,99.2475,96.49
2020-07-14,97.0575,170989360,94.84,97.255,93.8775
2020-07-13,95.4775,191649160,97.265,99.955,95.2575
2020-07-10,95.92,90257320,95.335,95.98,94.7052
2020-07-09,95.6825,125642600,96.2625,96.3175,94.6725
2020-07-08,95.3425,117091880,94.18,95.375,94.09
2020-07-07,93.1725,112424440,93.8525,94.655,93.0575
2020-07-06,93.4625,118655640,92.5,93.945,92.4675
2020-07-02,91.0275,114041480,91.9625,92.6175,90.91
2020-07-01,91.0275,110737240,91.28,91.84,90.9775
2020-06-30,91.2,140223280,90.02,91.495,90.0
2020-06-29,90.445,130646080,88.3125,90.5434,87.82
2020-06-26,88.4075,205256840,91.1025,91.33,88.255
2020-06-25,91.21,137522520,90.175,91.25,89.3925
2020-06-24,90.015,192623400,91.25,92.1975,89.63
2020-06-23,91.6325,212155480,91.0,93.095,90.5675
2020-06-22,89.7175,135445280,87.835,89.865,87.7875
2020-06-19,87.43,264475800,88.6587,89.14,86.2875
2020-06-18,87.9325,96820400,87.8525,88.3625,87.305
2020-06-17,87.8975,114406520,88.7875,88.85,87.7725
2020-06-16,88.02,165428720,87.865,88.3,86.18
2020-06-15,85.7475,138808920,83.3125,86.42,83.145
2020-06-12,84.7,200146040,86.18,86.95,83.5558
2020-06-11,83.975,201662440,87.3275,87.765,83.87
2020-06-10,88.21,166651760,86.975,88.6925,86.5225
2020-06-09,85.9975,147712360,83.035,86.4025,83.0025
2020-06-08,83.365,95654520,82.5625,83.4,81.83
2020-06-05,82.875,137250200,80.8375,82.9375,80.8075
2020-06-04,80.58,87560360,81.0975,81.405,80.195
2020-06-03,81.28,104491200,81.165,81.55,80.575
2020-06-02,80.835,87642800,80.1863,80.86,79.7325
2020-06-01,80.4625,81018600,79.4375,80.5875,79.3025
2020-05-29,79.485,153598120,79.8125,80.2875,79.1175
2020-05-28,79.5625,133796400,79.1925,80.86,78.9075
2020-05-27,79.5275,112945080,79.035,79.6775,78.2725
2020-05-26,79.1825,125521800,80.875,81.06,79.125
2020-05-22,79.7225,81803000,78.9425,79.8075,78.8375
2020-05-21,79.2125,102688840,79.665,80.2225,78.9675
2020-05-20,79.8075,111504880,79.17,79.88,79.05
2020-05-19,78.285,101729560,78.7575,79.63,78.2525
2020-05-18,78.74,135372520,78.2925,79.125,77.581
