Date, Close/Last, Volume, Open, High, Low
2020-09-17,3008.73,6449050,3009.25,3029.4320000000002,2972.55
2020-09-16,3078.1,4531189,3179.99,3187.238,3074.15
2020-09-15,3156.13,4021535,3136.16,3175.02,3108.92
2020-09-14,3102.97,4529596,3172.937,3187.39,3096.0
2020-09-11,3116.22,5093982,3208.69,3217.3409,3083.98
2020-09-10,3175.11,5330741,3307.219,3349.89,3170.55
2020-09-09,3268.61,5188675,3202.99,3303.175,3185.0
2020-09-08,3149.84,6094205,3144.0,3250.845,3130.0
2020-09-04,3294.62,8781754,3318.0,3381.5,3111.13
2020-09-03,3368.0,8161113,3485.0,3488.41,3303.0
2020-09-02,3531.45,3931476,3547.0,3552.25,3486.685
2020-09-01,3499.12,3476407,3489.58,3513.87,3467.0
2020-08-31,3450.96,4185885,3408.99,3495.0,3405.0
2020-08-28,3401.8,2896978,3423.0,3433.3699,3386.5
2020-08-27,3400.0,4264795,3450.05,3453.0,3378.0
2020-08-26,3441.85,6508743,3351.11,3451.7387,3344.5675
2020-08-25,3346.49,3992842,3294.99,3357.4,3267.0
2020-08-24,3307.46,4666258,3310.15,3380.315,3257.5608
2020-08-21,3284.72,3575862,3295.0,3314.3962,3275.39
2020-08-20,3297.37,3332478,3252.0,3312.62,3238.0
2020-08-19,3260.48,4185137,3303.01,3315.9,3256.0001
2020-08-18,3312.49,5345974,3212.0,3320.0,3205.8187
2020-08-17,3182.41,2691237,3173.12,3194.97,3154.1775
2020-08-14,3148.02,2751723,3178.18,3178.2357,3120.0
2020-08-13,3161.02,3149043,3182.99,3217.5211,3155.0
2020-08-12,3162.24,3527229,3108.0,3174.385,3101.42
2020-08-11,3080.67,3718057,3113.2,3159.22,3073.0
2020-08-10,3148.16,3167274,3170.31,3172.51,3101.52
2020-08-07,3167.46,3936127,3224.01,3240.81,3140.6726
2020-08-06,3225.0,3940602,3194.36,3247.47,3165.43
2020-08-05,3205.03,3930025,3143.77,3213.5859,3127.3
2020-08-04,3138.83,4694294,3101.21,3167.24,3101.21
2020-08-03,3111.89,5074663,3180.51,3184.0,3104.0
2020-07-31,3164.68,8083369,3244.0,3246.82,3151.0
2020-07-30,3051.88,6128265,3014.0,3092.0,3005.0
2020-07-29,3033.53,2974060,3030.99,3039.1592,2996.77
2020-07-28,3000.33,3126651,3054.27,3077.0926,2995.76
2020-07-27,3055.21,4170492,3062.0,3098.0,3015.77
2020-07-24,3008.91,5632413,2930.0,3031.58,2888.0
2020-07-23,2986.55,5656906,3098.2713,3098.2713,2970.0
2020-07-22,3099.91,4104225,3125.0,3149.9999,3065.26
2020-07-21,3138.29,6134965,3232.49,3240.5758,3105.72
2020-07-20,3196.84,7598176,3000.2,3201.3599,2994.0172
2020-07-17,2961.97,4761319,3009.0,3024.0,2948.45
2020-07-16,2999.9,6394246,2971.06,3032.0,2918.23
2020-07-15,3008.87,5788874,3080.23,3098.35,2973.1801
2020-07-14,3084.0,7231933,3089.0,3127.38,2950.0
2020-07-13,3104.0,7720420,3251.06,3344.29,3068.3901
2020-07-10,3200.0,5485982,3191.76,3215.0,3135.7
2020-07-09,3182.63,6388659,3115.99,3193.8799,3074.0016
2020-07-08,3081.11,5037635,3022.61,3083.97,3012.4301
2020-07-07,3000.12,5257514,3058.55,3069.55,2990.0
2020-07-06,3057.04,6880642,2934.97,3059.88,2930.0
2020-07-02,2890.3,6593387,2912.01,2955.56,2871.1021
2020-07-01,2878.7,6363439,2757.99,2895.0,2754.0
2020-06-30,2758.82,3769686,2685.065,2769.63,2675.03
2020-06-29,2680.38,4223422,2690.01,2696.8,2630.08
2020-06-26,2692.87,6500784,2775.0559999999996,2782.5688,2688.0
2020-06-25,2754.58,2968657,2739.55,2756.23,2712.14
2020-06-24,2734.4,4526605,2780.0,2796.0,2721.0
2020-06-23,2764.41,4231707,2726.02,2783.11,2718.04
2020-06-22,2713.82,3208780,2684.5,2715.0,2669.0
2020-06-19,2675.01,5776963,2678.08,2697.43,2659.0
2020-06-18,2653.98,2487774,2647.01,2659.64,2636.11
2020-06-17,2640.98,2959316,2647.5,2655.0,2631.82
2020-06-16,2615.27,3595649,2620.0,2620.0,2576.0
2020-06-15,2572.68,3873335,2526.6,2584.0,2508.0001
2020-06-12,2545.02,5436127,2601.21,2621.4766,2503.35
2020-06-11,2557.96,5800107,2603.5,2671.38,2536.23
2020-06-10,2647.45,4946031,2645.0,2722.35,2626.26
2020-06-09,2600.86,5175950,2529.44,2626.43,2525.0
2020-06-08,2524.06,3970654,2500.2,2530.0,2487.335
2020-06-05,2483.0,3306445,2444.51,2488.645,2437.13
2020-06-04,2460.6,2948710,2477.43,2507.54,2450.01
2020-06-03,2478.4,2671024,2468.01,2488.0,2461.17
2020-06-02,2472.41,2529903,2467.0,2473.53,2445.31
2020-06-01,2471.04,2938032,2448.0,2476.93,2444.17
2020-05-29,2442.37,3529329,2415.94,2442.37,2398.1973
2020-05-28,2401.1,3193136,2384.33,2436.9699,2378.23
2020-05-27,2410.39,5056945,2404.99,2413.58,2330.0
2020-05-26,2421.86,3568153,2458.0,2462.0,2414.06
2020-05-22,2436.88,2867079,2455.01,2469.85,2430.13
2020-05-21,2446.74,5114403,2500.0,2525.45,2442.54
2020-05-20,2497.94,3998143,2477.87,2500.01,2467.27
2020-05-19,2449.33,4320498,2429.83,2484.995,2428.97
2020-05-18,2426.26,4366572,2404.346,2433.0,2384.01
2020-05-15,2409.78,4234951,2368.52,2411.0,2356.37
2020-05-14,2388.85,3648128,2361.01,2391.37,2353.21
2020-05-13,2367.92,4782919,2366.8,2407.7,2337.805
2020-05-12,2356.95,3074916,2411.85,2418.9999,2355.0
2020-05-11,2409.0,3259231,2374.7,2419.665,2372.11
2020-05-08,2379.61,3211228,2372.14,2387.2449,2357.0
2020-05-07,2367.61,3396411,2374.78,2376.0,2343.11
2020-05-06,2351.26,3117814,2329.44,2357.45,2320.0
2020-05-05,2317.8,3242496,2340.0,2351.0,2307.1251
2020-05-04,2315.99,4865926,2256.38,2326.98,2256.38
2020-05-01,2286.04,9772605,2336.8,2362.44,2258.1901
2020-04-30,2474.0,9534611,2419.84,2475.0,2396.01
2020-04-29,2372.71,4591593,2330.01,2391.89,2310.0
2020-04-28,2314.08,5269446,2372.1,2373.5,2306.0
2020-04-27,2376.0,5645645,2443.2,2444.88,2363.0
2020-04-24,2410.22,3831797,2417.0,2420.4332,2382.0
2020-04-23,2399.45,5066552,2399.98,2424.22,2382.08
2020-04-22,2363.49,4218295,2369.0,2394.0,2351.0
2020-04-21,2328.12,7476679,2416.61,2428.3099,2279.66
2020-04-20,2393.61,5770694,2389.95,2444.98,2386.05
2020-04-17,2375.0,7930010,2372.33,2400.0,2316.02
2020-04-16,2408.19,12038200,2346.0,2460.9981,2335.0
2020-04-15,2307.68,6866567,2257.68,2333.369,2245.0
2020-04-14,2283.32,8087193,2200.47,2292.0,2186.21
2020-04-13,2168.87,6716709,2040.0,2180.0,2038.0
2020-04-09,2042.76,4655617,2044.3,2053.0,2017.66
2020-04-08,2043.0,3977313,2021.0,2044.0,2011.15
2020-04-07,2011.6,5113983,2017.11,2035.72,1997.62
2020-04-06,1997.59,5773181,1936.0,1998.52,1930.02
2020-04-03,1906.59,3609870,1911.15,1926.33,1889.15
2020-04-02,1918.83,4335985,1901.64,1927.5258,1890.0
2020-04-01,1907.7,4121875,1932.97,1944.96,1893.0
2020-03-31,1949.72,5123626,1964.35,1993.02,1944.01
2020-03-30,1963.95,6126087,1922.83,1973.63,1912.34
2020-03-27,1900.1,5387897,1930.86,1939.79,1899.92
2020-03-26,1955.49,6235118,1902.0,1956.49,1889.29
2020-03-25,1885.84,6479073,1920.69,1950.26,1885.78
2020-03-24,1940.1,7147080,1951.495,1955.0,1900.3403
2020-03-23,1902.83,7808489,1827.75,1919.4,1812.0
2020-03-20,1846.09,9817850,1926.31,1957.0,1820.73
2020-03-19,1880.93,10399940,1860.0,1945.0,1832.65
2020-03-18,1830.0,9645218,1750.0,1841.66,1745.0
2020-03-17,1807.84,10917130,1775.47,1857.775,1689.2402
2020-03-16,1689.15,8917265,1641.51,1759.4519,1626.0318
2020-03-13,1785.0,8809725,1755.0,1786.31,1680.62
2020-03-12,1676.61,11346210,1721.98,1765.0,1675.0
