Date, Close/Last, Volume, Open, High, Low
2020-09-29,163.6,19920970,164.77,165.5,162.01
2020-09-28,166.08,38868160,160.33,168.0,159.2
2020-09-25,156.03,29123010,146.85,156.3116,146.415
2020-09-24,146.05,27098140,150.29,150.31,145.02
2020-09-23,151.18,18247500,157.33,160.42,150.89
2020-09-22,156.8,17768920,156.81,160.0678,154.95
2020-09-21,156.35,23125340,157.83,158.83,154.2
2020-09-18,161.14,22057120,165.66,169.72,161.02
2020-09-17,167.53,19717830,164.63,168.455,161.05
2020-09-16,167.46,21886250,161.95,170.57,160.31
2020-09-15,163.49,14881700,166.65,168.84,163.33
2020-09-14,165.35,17228430,161.75,165.94,158.9
2020-09-11,160.23,14722440,158.0,161.3592,156.32
2020-09-10,157.69,14532590,160.96,163.78,157.57
2020-09-09,160.78,21951400,161.61,163.06,157.0
2020-09-08,161.08,22622680,165.8,166.9,160.5
2020-09-04,171.05,18867270,171.31,172.83,164.0
2020-09-03,168.77,27799390,175.0,180.85,168.12
2020-09-02,174.78,16552090,172.74,175.0,171.45
2020-09-01,172.1,18997420,170.71,175.49,169.25
2020-08-31,171.82,16264300,174.65,175.2699,171.7
2020-08-28,175.8,20383900,175.11,177.28,172.57
2020-08-27,174.2,29548070,174.71,181.31,173.5601
2020-08-26,171.9,16189790,173.8,174.4299,171.35
2020-08-25,174.73,31318540,180.46,180.63,172.44
2020-08-24,178.27,39317110,168.78,178.27,167.93
2020-08-21,167.5,16945900,168.35,170.0839,167.27
2020-08-20,169.58,23213410,168.54,170.84,165.86
2020-08-19,169.27,25601500,170.44,174.1,169.09
2020-08-18,170.23,21488490,172.01,173.238,169.01
2020-08-17,172.01,23352130,178.24,178.29,171.4085
2020-08-14,178.08,32414090,173.09,179.47,172.35
2020-08-13,174.73,22958760,173.62,179.47,172.4301
2020-08-12,175.44,40702390,184.01,184.149,173.19
2020-08-11,180.13,61036610,184.51,189.97,179.53
2020-08-10,179.41,35857660,171.36,179.79,171.33
2020-08-07,170.02,19317970,171.5,171.8599,168.7
2020-08-06,172.2,32921630,172.8,175.57,170.6
2020-08-05,174.28,46550970,167.6,174.98,166.4
2020-08-04,165.07,30853450,164.63,167.4,163.01
2020-08-03,162.27,38520490,156.51,163.58,153.41
2020-07-31,158.0,30286700,161.55,163.4,156.26
2020-07-30,161.95,29140020,162.88,164.5499,160.64
