Date, Close/Last, Volume, Open, High, Low
2020-09-29,28.74,7438617,29.27,29.4,28.5
2020-09-28,29.44,8395670,29.82,30.04,29.38
2020-09-25,29.0,9350419,28.86,29.22,28.56
2020-09-24,29.11,12393740,29.05,29.585,28.24
2020-09-23,29.34,10899720,29.49,29.99,29.2001
2020-09-22,29.44,11106810,29.85,30.36,29.325
2020-09-21,30.0,20577930,30.3,30.42,29.16
2020-09-18,31.5,15040940,31.85,32.05,31.36
2020-09-17,31.92,11459930,31.31,31.95,30.95
2020-09-16,31.79,16402400,32.68,32.79,31.74
2020-09-15,31.58,21096310,31.36,33.14,30.825
2020-09-14,31.18,11972070,30.72,31.56,30.535
2020-09-11,30.46,13638660,30.3,30.57,29.87
2020-09-10,30.17,24848220,31.82,31.88,30.14
2020-09-09,31.95,22376280,32.11,32.75,31.725
2020-09-08,32.38,52000040,31.72,33.33,31.05
2020-09-04,30.0,13821990,29.93,30.37,29.355
2020-09-03,29.48,22358110,30.93,31.52,29.13
2020-09-02,30.96,16246160,29.85,31.09,29.8004
2020-09-01,29.79,9012046,29.53,29.85,29.34
2020-08-31,29.63,9585300,30.02,30.19,29.61
2020-08-28,30.02,9180199,29.86,30.225,29.635
2020-08-27,29.69,8745402,29.6,30.235,29.52
2020-08-26,29.48,9740007,29.78,29.83,29.12
2020-08-25,29.69,13006670,30.4,30.73,29.48
2020-08-24,30.31,20137880,29.28,30.755,28.99
2020-08-21,28.56,9841202,28.74,28.9548,28.43
2020-08-20,28.83,9680168,28.7,29.17,28.64
2020-08-19,29.22,14504200,29.65,30.0281,29.08
2020-08-18,29.84,23102830,30.55,31.12,29.79
2020-08-17,30.01,33827830,28.6,30.775,28.4284
2020-08-14,27.86,8587722,27.29,28.125,27.15
2020-08-13,27.55,7586072,27.73,28.22,27.5
2020-08-12,28.03,10062450,28.99,29.75,27.78
2020-08-11,28.52,17260200,28.47,29.3481,28.435
2020-08-10,27.98,10853600,26.91,28.06,26.86
2020-08-07,26.72,8038761,26.48,26.81,26.17
2020-08-06,26.62,14171810,26.17,27.19,26.15
2020-08-05,26.33,9252746,26.2,26.35,25.88
2020-08-04,25.8,15609610,25.87,26.03,25.51
2020-08-03,25.64,10445590,25.06,25.77,24.82
2020-07-31,24.89,17784320,25.12,25.15,24.44
2020-07-30,25.2,16012010,25.13,25.46,25.02
2020-07-29,25.89,28792150,27.04,27.05,24.93
2020-07-28,26.33,12854300,25.78,26.745,25.69
2020-07-27,25.7,16598110,25.88,25.92,25.31
2020-07-24,26.25,8584829,26.6,26.875,26.11
2020-07-23,26.76,13653510,26.44,27.325,26.33
2020-07-22,26.3,10702600,25.87,26.5,25.8
2020-07-21,26.15,9740141,26.17,26.48,25.97
2020-07-20,26.01,8663498,26.21,26.54,25.77
2020-07-17,26.45,8241084,26.99,27.0,26.25
2020-07-16,26.85,9736414,26.35,27.185,26.26
2020-07-15,26.88,14893700,26.32,27.03,26.13
2020-07-14,25.64,16477080,24.8,25.845,24.67
2020-07-13,24.86,14766810,24.65,25.19,24.37
2020-07-10,24.39,15660010,23.55,24.4,23.33
2020-07-09,23.42,17778150,24.76,24.8299,23.33
2020-07-08,24.94,11111570,25.19,25.255,24.67
2020-07-07,25.13,11950540,25.59,25.625,25.06
2020-07-06,25.73,9172140,25.96,26.04,25.4299
2020-07-02,25.24,22202260,25.62,25.85,25.081999999999997
2020-07-01,24.96,11963030,25.3,25.935,24.93
2020-06-30,25.3,14321970,25.09,25.595,24.74
2020-06-29,25.3,10011690,24.71,25.35,24.475
2020-06-26,24.46,16476830,25.0,25.11,24.25
2020-06-25,25.23,14328320,25.0,25.29,24.535
2020-06-24,25.28,14887790,25.85,25.98,25.01
2020-06-23,26.25,12455450,26.75,26.85,26.23
2020-06-22,26.37,13079480,26.6,26.64,25.85
2020-06-19,26.59,27880400,27.74,27.83,26.33
2020-06-18,27.09,11086370,26.9,27.55,26.71
2020-06-17,27.16,11123840,27.78,28.0501,27.13
2020-06-16,27.78,17466140,29.11,29.18,27.475
2020-06-15,27.77,15321200,26.61,28.1,26.57
2020-06-12,27.96,21587200,28.72,28.96,27.07
2020-06-11,26.5,19121920,26.62,27.8,26.29
2020-06-10,28.75,15647980,29.8,29.84,28.42
2020-06-09,29.86,16945520,29.4,30.215,28.71
2020-06-08,30.68,15234200,31.22,31.66,30.6
2020-06-05,30.61,29418650,31.0,31.15,29.81
2020-06-04,29.16,16328790,28.86,29.435,28.52
2020-06-03,29.07,16860900,28.42,29.13,28.25
2020-06-02,27.41,10953770,27.32,27.615,26.945
2020-06-01,26.94,10478950,25.99,27.22,25.91
2020-05-29,25.88,22223460,26.35,26.57,25.69
2020-05-28,26.68,11673960,27.86,27.94,26.6
2020-05-27,27.79,15030740,28.53,28.83,26.91
2020-05-26,27.4,18870480,27.82,27.89,27.25
2020-05-22,25.98,14317400,25.99,26.23,25.215
2020-05-21,25.8,14320720,25.29,26.02,25.21
2020-05-20,25.48,14056780,25.31,25.89,25.215
2020-05-19,24.69,18484600,24.75,25.7,24.29
2020-05-18,24.81,23289190,24.0,25.205,24.0
2020-05-15,22.63,14221280,21.97,22.68,21.83
2020-05-14,22.31,15629090,20.66,22.34,20.49
2020-05-13,21.46,16832580,22.44,22.45,21.13
2020-05-12,22.56,12182920,22.99,23.27,22.55
2020-05-11,22.8,16754040,23.25,23.39,22.59
2020-05-08,23.93,16562350,23.07,24.0,23.05
2020-05-07,22.44,16983200,22.18,22.98,22.03
2020-05-06,21.89,34430540,23.05,23.65,21.83
2020-05-05,21.26,17802260,21.25,21.97,21.12
2020-05-04,20.75,16188810,20.45,20.875,20.1201
2020-05-01,20.9,17874490,21.65,21.76,20.8
2020-04-30,22.29,15272410,23.44,23.44,22.25
