Date, Close/Last, Volume, Open, High, Low
2020-09-17,40.4,15234640,41.31,41.995,40.085
2020-09-16,42.1,19858500,40.52,42.88,40.275
2020-09-15,40.61,10131160,40.26,40.98,40.1
2020-09-14,40.06,9680749,39.35,40.25,39.063
2020-09-11,38.95,8044874,39.05,39.41,38.68
2020-09-10,38.94,9024766,39.52,39.95,38.865
2020-09-09,39.22,12211510,40.09,40.44,38.81
2020-09-08,40.5,15808630,39.18,40.8,39.18
2020-09-04,39.39,15543430,39.19,40.0699,38.06
2020-09-03,38.74,16721370,39.28,40.655,37.85
2020-09-02,39.17,11157420,38.57,39.34,37.68
2020-09-01,37.91,10884670,36.84,38.67,36.5606
2020-08-31,37.58,9824277,38.75,38.81,37.58
2020-08-28,38.81,14082630,38.11,39.06,37.59
2020-08-27,37.65,14342550,37.54,38.88,37.313
2020-08-26,36.38,7938202,36.91,37.07,36.325
2020-08-25,37.06,11774020,37.43,37.5,36.34
2020-08-24,36.91,15211940,35.29,36.94,34.96
2020-08-21,34.69,11435500,34.3,35.19,34.28
2020-08-20,34.46,9149336,33.65,34.575,33.48
2020-08-19,34.27,14959370,34.91,35.78,34.145
2020-08-18,34.16,7256144,33.82,34.25,33.54
2020-08-17,33.81,8113529,35.06,35.18,33.7927
2020-08-14,34.9,7373448,34.3,35.13,34.2
2020-08-13,34.71,8576839,34.71,35.6999,34.6213
2020-08-12,35.25,13028990,35.83,36.08,34.3611
2020-08-11,35.29,21870250,36.61,37.44,35.07
2020-08-10,34.99,15958000,33.65,35.145,33.55
2020-08-07,33.28,9381196,32.84,33.3,32.69
2020-08-06,33.02,15007850,33.26,33.35,32.315
2020-08-05,32.72,15269880,31.9,33.1997,31.79
2020-08-04,31.4,12040130,31.7,32.27,31.38
2020-08-03,31.58,13471910,30.75,32.15,30.295
2020-07-31,30.89,11131690,30.8,31.02,30.24
2020-07-30,30.96,12316530,31.33,31.65,30.77
2020-07-29,31.79,11150810,32.58,32.63,31.48
2020-07-28,32.29,10257630,31.51,32.67,31.48
2020-07-27,31.53,9759043,31.57,31.93,31.235
2020-07-24,31.66,14976690,32.31,32.45,31.57
2020-07-23,32.79,22888540,32.75,34.16,32.0626
2020-07-22,33.3,10424030,33.5,33.91,33.05
2020-07-21,33.62,11942940,33.33,34.16,33.25
2020-07-20,32.98,12541750,33.97,34.295,32.73
2020-07-17,34.13,7792962,34.07,34.52,33.8176
2020-07-16,34.21,11389900,34.83,35.08,33.9
2020-07-15,35.75,21286070,35.03,36.095,34.27
2020-07-14,33.25,11588770,31.84,33.38,31.75
2020-07-13,32.64,15503430,33.42,33.53,32.27
2020-07-10,33.22,14939510,31.16,33.35,31.16
2020-07-09,31.57,17209470,32.47,32.73,31.3
2020-07-08,32.89,16028350,32.56,33.47,32.07
2020-07-07,33.01,10922120,33.49,33.54,32.94
2020-07-06,34.3,16454930,34.72,34.88,33.15
2020-07-02,34.12,12300630,34.7,34.9186,33.9607
2020-07-01,33.81,16126970,35.29,35.5983,33.67
2020-06-30,34.18,18758370,34.98,34.99,33.57
2020-06-29,35.04,25720780,33.15,35.36,32.33
2020-06-26,31.96,23961980,33.13,33.15,31.18
2020-06-25,32.97,18182610,31.19,33.06,30.94
2020-06-24,32.25,19031730,34.0,34.27,32.23
2020-06-23,34.75,15215010,34.78,34.8,33.85
2020-06-22,34.36,14395710,34.03,34.82,33.6418
2020-06-19,34.55,20498960,36.57,36.61,33.95
2020-06-18,35.85,13810120,35.65,36.565,35.41
2020-06-17,36.31,18721050,36.24,36.8,35.67
2020-06-16,36.57,30327520,38.51,38.63,35.52
2020-06-15,36.34,23794660,33.8,36.92,33.61
2020-06-12,35.87,26920390,36.06,36.99,34.31
2020-06-11,32.83,28556970,32.94,35.17,32.5
2020-06-10,37.14,37974180,36.01,38.2,34.76
2020-06-09,38.01,26724410,38.36,38.81,36.58
2020-06-08,40.59,31340960,40.14,40.61,38.7
2020-06-05,38.18,54289270,41.98,42.35,37.57
2020-06-04,38.27,54234480,37.79,39.76,36.6
2020-06-03,36.42,26644950,35.07,36.9469,34.9
2020-06-02,34.48,22875730,34.86,35.2,34.03
2020-06-01,33.62,20877770,32.3,34.4,32.16
2020-05-29,32.1,19763230,31.48,32.82,31.2
2020-05-28,32.55,24802090,33.9,34.095,32.34
2020-05-27,33.66,44902350,34.9,35.16,31.4
2020-05-26,32.52,41232500,31.71,32.935,31.44
2020-05-22,28.87,17558230,29.76,29.98,28.31
2020-05-21,29.6,22166520,29.31,30.12,29.02
2020-05-20,29.15,27248980,28.47,29.33,28.1724
2020-05-19,27.69,35768210,28.5,28.85,26.9301
2020-05-18,27.09,27200460,25.75,27.24,25.55
2020-05-15,23.87,18679790,24.37,24.87,23.75
