Date, Close/Last, Volume, Open, High, Low
2020-09-29,218.68,1732275,220.42,220.955,218.4783
2020-09-28,220.26,2112107,220.0,221.98,219.02
2020-09-25,218.18,2196831,215.3,219.25,213.65
2020-09-24,216.12,1727041,214.75,218.41,213.59
2020-09-23,214.97,2777715,217.67,219.685,214.24
2020-09-22,216.41,2475978,216.43,216.96,214.55
2020-09-21,216.41,2831750,217.14,218.045,213.4
2020-09-18,220.27,3861750,221.62,223.57,220.13
2020-09-17,222.58,3376985,223.7,223.73,220.5
2020-09-16,224.81,3464160,222.17,226.72,221.3
2020-09-15,222.37,2640872,221.76,223.64,221.4
2020-09-14,220.56,2544140,219.72,222.59,219.34
2020-09-11,218.0,3616483,217.69,219.18,216.28
2020-09-10,217.24,3325601,215.72,219.48,215.72
2020-09-09,215.71,3213195,215.0,218.17,214.44
2020-09-08,213.58,4107917,211.18,216.3,211.06
2020-09-04,211.73,3828823,215.29,217.78,210.76
2020-09-03,213.8,3126675,218.11,218.11,211.9
2020-09-02,216.23,4091998,213.25,217.13,212.69
2020-09-01,212.69,2926889,210.84,213.61,210.5816
2020-08-31,213.52,2900867,213.52,214.99,212.81
2020-08-28,214.91,3212491,212.82,216.71,211.77
2020-08-27,212.19,3226762,214.34,216.1,212.1
2020-08-26,213.76,2316855,212.09,214.42,211.6
2020-08-25,212.65,2302456,213.96,214.185,212.22
2020-08-24,212.62,2463937,212.26,213.5,210.93
2020-08-21,211.57,3484853,209.96,212.185,209.26
2020-08-20,209.88,2085063,208.12,210.99,208.1
2020-08-19,209.51,2711113,210.22,211.17,208.64
2020-08-18,210.32,2921676,209.26,210.43,207.23
2020-08-17,208.67,2619046,206.94,209.5,206.85
2020-08-14,207.03,2060237,205.95,207.33,205.2
2020-08-13,206.49,1795023,205.96,207.25,205.35
2020-08-12,206.02,2167353,206.86,207.4,205.38
2020-08-11,205.0,2478383,205.0,207.42,204.25
2020-08-10,204.12,2783695,204.35,205.16,202.5367
2020-08-07,204.6,2979950,203.36,205.16,203.285
2020-08-06,203.18,3159323,198.78,203.6,198.37
2020-08-05,199.26,2281830,200.0,200.5,197.91
2020-08-04,199.36,3700233,194.95,199.7,194.34
2020-08-03,194.4,3143754,194.33,195.6,193.59
2020-07-31,194.28,3195486,194.15,194.675,191.6403
2020-07-30,195.41,2705661,195.0,196.4019,192.9201
