Date, Close/Last, Volume, Open, High, Low
2020-09-29,493.48,3543193,489.5,496.2868,486.53
2020-09-28,490.65,4773497,489.10900000000004,492.0,477.88
2020-09-25,482.88,3769436,474.39,484.87,468.0258
2020-09-24,473.08,3727201,470.53,477.0,467.82
2020-09-23,470.61,3726423,491.04,491.04,469.0
2020-09-22,491.17,3482324,489.01,491.82,479.26
2020-09-21,487.35,5457539,467.69199999999995,487.775,466.32
2020-09-18,469.96,6717711,472.51,479.4,458.6
2020-09-17,470.2,5379301,475.16,478.4,463.27
2020-09-16,483.86,4401412,499.99,504.66,483.31
2020-09-15,495.99,5336992,484.0,497.47,481.63
2020-09-14,476.26,7359126,480.62,488.99,471.3001
2020-09-11,482.03,5035200,486.485,493.73,476.81
2020-09-10,480.67,6240181,503.35,506.29,478.84
2020-09-09,500.19,6848127,519.21,520.0,492.5743
2020-09-08,507.02,5572684,498.4,522.0,495.0
2020-09-04,516.05,8270118,520.18,527.36,485.98
2020-09-03,525.75,9071089,545.0,554.0,521.32
2020-09-02,552.84,5886930,553.78,556.5,537.369
2020-09-01,556.55,9581907,532.6,557.3895,532.45
2020-08-31,529.56,4941409,521.16,531.99,517.58
2020-08-28,523.89,4417517,532.0,539.0,522.0
2020-08-27,526.27,9062912,537.775,541.0,521.2471
2020-08-26,547.53,20373680,492.5,549.04,492.075
2020-08-25,490.58,5727721,488.19,492.47,485.09
2020-08-24,488.81,4762183,495.43800000000005,501.0,483.16
2020-08-21,492.31,3921293,496.46,498.13,490.0
2020-08-20,497.9,5132480,484.69,498.94,483.89
2020-08-19,484.53,3156218,493.93,494.4985,483.5
2020-08-18,491.87,3505518,484.35,495.3,482.8
2020-08-17,482.35,2423545,484.19,486.24,479.1
2020-08-14,482.68,2943487,482.82,488.325,480.21
2020-08-13,481.33,3008933,478.4,484.45,476.45
2020-08-12,475.47,5441243,471.34,482.49,470.18
2020-08-11,466.93,7329226,479.75,480.92,466.55
2020-08-10,483.38,4691185,493.35,497.4584,478.6269
2020-08-07,494.73,5910348,505.45,508.29,486.68
2020-08-06,509.08,3725861,504.11,510.82,498.7
2020-08-05,502.11,4313526,508.68,510.1021,501.2
2020-08-04,509.64,5607968,498.65,510.4436,498.65
2020-08-03,498.62,5876190,490.86,503.09,490.23
2020-07-31,488.88,5924310,488.29,494.8,484.5
2020-07-30,485.8,6608569,480.7072,488.35,477.5101
2020-07-29,484.48,6611769,492.25,494.92,484.13
2020-07-28,488.51,5986727,496.02,497.7927,487.7601
2020-07-27,495.65,7863069,484.51,496.92,482.31
2020-07-24,480.45,7746247,468.77,487.17,467.54
2020-07-23,477.58,7722034,491.13,491.9,472.0201
2020-07-22,489.82,6954078,492.19,497.2,487.2
2020-07-21,490.1,9127218,506.0,506.22,488.61
2020-07-20,502.41,11940310,489.14,504.5,484.2001
2020-07-17,492.99,24991350,494.87,503.59,484.14
2020-07-16,527.39,24498990,526.48,535.54,504.3627
2020-07-15,523.26,10066650,516.3,529.0,510.18
2020-07-14,524.88,15083300,517.08,525.5,490.49
2020-07-13,525.5,18399020,567.98,575.37,520.96
2020-07-10,548.73,21605590,519.73,555.8799,511.28
2020-07-09,507.76,5840541,508.4,510.0,495.78
2020-07-08,502.78,5691682,498.57599999999996,505.1,493.81
2020-07-07,493.16,5669870,497.311,504.82,490.83
2020-07-06,493.81,7838990,480.77,499.5,479.8
2020-07-02,476.89,6351485,485.64,492.28,475.5258
2020-07-01,485.64,9705870,454.0,488.23,454.0
2020-06-30,455.04,4198545,450.02,457.59,447.0
2020-06-29,447.24,4843978,445.23,447.67,432.14
2020-06-26,443.4,6804726,466.39,468.03,442.24
2020-06-25,465.91,4134513,458.86,467.01,454.0
2020-06-24,457.85,4826191,468.54,472.36,454.0
2020-06-23,466.26,5948436,466.5,474.01,464.5
2020-06-22,468.04,6272105,455.01,468.59,454.21
2020-06-19,453.72,5933651,449.12,453.97,445.6
2020-06-18,449.87,4277627,448.73,452.76,442.8
2020-06-17,447.77,6529568,441.82,450.46,439.22
2020-06-16,436.13,5514016,425.76,437.96,425.18
2020-06-15,425.5,4471499,421.4,426.49,415.4238
2020-06-12,418.07,6461127,429.0,434.06,412.45
2020-06-11,425.56,7462868,428.2,445.57,424.1601
2020-06-10,434.48,4896893,436.0,439.69,430.55
2020-06-09,434.05,6796999,421.65,434.73,420.31
2020-06-08,419.49,5851453,416.0,420.8,406.5
2020-06-05,419.6,5099561,407.29,420.2392,404.25
2020-06-04,414.33,5410529,422.39,428.71,410.03
2020-06-03,421.97,4316044,426.95,427.1,418.05
2020-06-02,427.31,3494801,425.87,427.59,419.46
2020-06-01,425.92,3748573,418.83,426.72,415.98
2020-05-29,419.73,5270484,417.46,420.295,411.85
2020-05-28,413.44,5660160,417.24,422.3717,411.5
2020-05-27,419.89,10446340,410.38,420.02,397.86
2020-05-26,414.77,7881115,427.77,428.5,413.14
2020-05-22,429.32,5422334,437.0,439.09,427.18
2020-05-21,436.25,9117325,448.56,448.96,430.25
2020-05-20,447.67,5607257,454.25,455.81,444.0
2020-05-19,451.04,4810487,453.397,458.97,450.465
2020-05-18,452.58,7780309,451.16,456.36,443.35
2020-05-15,454.19,7243998,440.7,455.0,437.51
2020-05-14,441.95,9007467,444.9,452.38,432.82
2020-05-13,438.27,7014563,435.69,447.0,427.27
2020-05-12,431.82,4598211,442.0,444.17,431.36
2020-05-11,440.52,5486037,436.33,444.8899,435.56
2020-05-08,435.55,5054308,434.14,442.0,433.6389
2020-05-07,436.53,5650281,436.89,438.88,430.66
2020-05-06,434.26,6660737,429.3,439.77,426.385
2020-05-05,424.68,6286293,427.555,431.0,421.56
2020-05-04,428.15,7799058,417.78,428.54,414.87
2020-05-01,415.27,8299858,415.1,427.97,411.73
2020-04-30,419.85,7953975,410.31,424.44,408.0
2020-04-29,411.89,9693137,399.53,415.86,393.6
2020-04-28,403.83,10101230,419.99,421.0,402.9101
2020-04-27,421.38,6277480,425.0,429.0,420.84
2020-04-24,424.99,8670362,425.0,427.17,415.88
2020-04-23,426.7,13952330,419.26,438.413,419.26
2020-04-22,421.42,21123770,429.725,433.0,413.0
2020-04-21,433.83,23177550,444.77,447.0,425.6
2020-04-20,437.49,12655820,435.17,444.49,430.56
2020-04-17,422.96,12616260,431.0,432.0,414.695
2020-04-16,439.17,16128670,437.0,449.52,431.61
2020-04-15,426.75,13561220,413.0,434.98,412.25
2020-04-14,413.55,11580980,397.5,417.82,394.8468
2020-04-13,396.72,11692920,371.31,400.51,367.7003
2020-04-09,370.72,7711296,371.06,372.1,363.03
2020-04-08,371.12,6908879,374.01,378.39,368.31
2020-04-07,372.28,7046438,380.0,381.33,369.34
2020-04-06,379.96,8183921,365.22,380.29,361.71
2020-04-03,361.76,4860768,367.47,370.9,357.51
2020-04-02,370.08,4592477,364.08,370.99,360.06
2020-04-01,364.08,6672454,376.05,380.233,361.02
2020-03-31,375.5,9366464,367.93,383.01,366.44
2020-03-30,370.96,8621964,363.0,377.8,361.17
2020-03-27,357.12,7948775,359.09,368.56,353.0
2020-03-26,362.99,7235016,344.0,363.84,341.73
2020-03-25,342.39,8767171,361.02,362.0,339.17
