Date, Close/Last, Volume, Open, High, Low
2020-09-17,86.75,7386586,87.05,87.32,85.355
2020-09-16,88.38,7146989,88.0,89.43,87.75
2020-09-15,87.71,8361907,87.18,88.25,87.1706
2020-09-14,86.63,5535807,85.75200000000001,87.055,85.64
2020-09-11,85.27,7103251,84.95,85.85,84.15
2020-09-10,84.88,7551958,85.8,87.07,84.5275
2020-09-09,85.86,6928650,85.934,86.82700000000001,84.46
2020-09-08,85.41,11083140,85.27,87.5834,84.77
2020-09-04,86.27,10349370,87.095,87.78,85.31
2020-09-03,86.48,11036640,88.602,88.98,85.69
2020-09-02,88.35,11378890,86.505,88.75,86.29
2020-09-01,86.05,8168825,84.7,86.09,84.23
2020-08-31,84.47,6401571,84.632,85.36,84.025
2020-08-28,85.0,9303909,83.79,85.29,83.43
2020-08-27,83.41,9099186,82.75,83.635,82.5
2020-08-26,82.41,7934302,82.42,82.75,81.88
2020-08-25,82.72,17659520,80.06,83.065,79.79
2020-08-24,78.68,5867361,77.71,79.14,77.25
2020-08-21,77.07,5594121,76.94,77.27,76.69
2020-08-20,77.22,5099464,77.03,77.65,76.4602
2020-08-19,77.63,6840566,79.183,79.385,77.43
2020-08-18,78.99,5272725,79.15,79.36,78.35
2020-08-17,78.95,5360366,78.6,78.96,78.12
2020-08-14,78.37,3771349,78.54,78.93,78.02
2020-08-13,79.02,4383353,78.92,79.6401,78.84
2020-08-12,79.29,5378790,79.59,79.69,78.665
2020-08-11,78.87,10238460,78.27,79.98,78.0
2020-08-10,77.47,6604325,75.818,77.665,75.81
2020-08-07,75.79,6569313,75.48,75.93,75.21
2020-08-06,75.66,6764846,75.2,75.92,74.9412
2020-08-05,75.78,7823144,75.35,75.99,75.325
2020-08-04,75.13,12792450,75.37,75.485,74.76
2020-08-03,75.5,7142088,76.48,76.6,75.44
2020-07-31,76.53,7424977,76.24,76.54,75.48
2020-07-30,76.64,7889831,76.63,76.98,75.4
2020-07-29,77.42,15261050,77.56,78.49,76.9
2020-07-28,74.64,12273410,76.3,76.39,74.5604
2020-07-27,76.46,6771141,75.88600000000001,76.705,75.54
2020-07-24,75.78,5673370,75.28,75.995,75.11
2020-07-23,75.36,7795081,76.88,77.07,74.9
2020-07-22,77.24,9213149,75.52,77.325,75.12
2020-07-21,75.44,10639750,75.78,76.8,75.27
2020-07-20,74.96,8832692,74.16,75.22,73.6305
2020-07-17,74.16,6087543,74.43,74.55,73.2101
2020-07-16,74.39,6649692,74.9,75.14,73.68
2020-07-15,75.61,10300710,74.46,75.805,73.96
2020-07-14,72.73,8780867,72.0,72.97,71.815
2020-07-13,72.65,9464541,74.56,74.84,72.49
2020-07-10,74.29,7524157,73.0,74.56,72.74
2020-07-09,73.57,9618209,73.73,74.22,71.93
2020-07-08,74.14,7346243,74.07,74.499,73.33
2020-07-07,74.25,7515103,75.13,75.23,74.0
2020-07-06,75.44,7235277,74.93,75.48,74.16
2020-07-02,73.78,6544351,75.04,75.09,73.64
2020-07-01,74.03,6749978,74.0,74.69,73.38
2020-06-30,73.59,11323990,73.58,73.88,72.81
2020-06-29,73.48,8653029,71.40899999999999,73.5,71.06
2020-06-26,71.57,17627840,73.63,73.77,71.25
2020-06-25,73.85,8624798,73.21600000000001,74.105,72.17
2020-06-24,73.64,12306430,74.9,74.92,72.0
2020-06-23,75.49,8076612,76.33,76.37,75.07
2020-06-22,75.4,8238636,74.9,75.65100000000001,73.92
2020-06-19,75.4,12527330,77.03,77.375,74.88
2020-06-18,76.31,8485970,76.72,76.79,75.795
2020-06-17,77.1,6906721,78.07,78.29,76.68
2020-06-16,77.84,10890110,78.79,78.9435,76.39
2020-06-15,76.96,14651210,74.3,77.91,74.08
2020-06-12,76.38,18529830,75.0,76.715,73.81
2020-06-11,72.57,26422160,75.75,76.79,72.15
2020-06-10,79.01,19683810,79.88,80.025,78.2
2020-06-09,82.37,7999828,82.62,83.22,81.76
2020-06-08,83.56,10229590,83.08,83.62,82.1828
2020-06-05,82.14,12030780,80.33,82.33,79.97
2020-06-04,78.74,7667564,79.31,80.17,78.47
2020-06-03,79.58,9956666,78.45,79.95,78.3
2020-06-02,77.78,9521014,77.97,78.255,76.79
2020-06-01,78.32,7936986,77.66,78.65,76.77
2020-05-29,77.99,10108990,78.62,78.64,77.26
2020-05-28,78.54,8333918,78.64,80.06,77.93
2020-05-27,78.6,8245290,78.98,78.98,77.385
2020-05-26,77.76,8422249,79.6,79.92,77.575
2020-05-22,77.62,7653305,77.9,78.05,76.52
2020-05-21,78.05,10312640,78.6,79.375,77.89
2020-05-20,77.76,7790481,77.23,77.84,76.52
2020-05-19,75.86,6484878,76.4,77.225,75.76
2020-05-18,76.23,8912473,76.86,77.5,76.2
2020-05-15,74.16,9489146,72.81,74.64,72.6746
2020-05-14,74.19,11932250,72.32,74.29,70.65
2020-05-13,73.62,11532700,74.46,75.75,72.92
2020-05-12,74.35,8549922,76.0,76.73,74.34
2020-05-11,75.87,9004538,76.62,77.18,75.795
2020-05-08,77.87,11921830,77.25,77.93,75.76
2020-05-07,76.0,13369310,73.81,76.03,73.37
2020-05-06,72.96,12740910,73.767,74.85,72.86
2020-05-05,72.9,12976020,74.96,75.08,72.89
2020-05-04,71.89,12921800,72.58,72.62,71.255
2020-05-01,73.79,11216700,74.9,75.8799,73.21
2020-04-30,76.73,15186030,76.83,77.64,75.19
2020-04-29,76.86,24575510,78.18,78.75,76.72
2020-04-28,78.69,12801390,78.67,79.61,76.96
2020-04-27,77.74,8258468,76.68,78.04,76.54
2020-04-24,75.58,8460619,75.75,76.03,74.21
2020-04-23,75.15,15513360,77.33,77.67,74.26
2020-04-22,77.45,11355290,74.55,78.06,74.43
2020-04-21,72.72,10345790,73.4,73.96,71.74
2020-04-20,75.32,9684741,76.02,76.98,75.085
2020-04-17,77.1,14268390,76.62,77.39,74.97
2020-04-16,73.51,11946810,73.11,73.76,71.345
2020-04-15,72.55,10642530,72.01,73.175,70.71
2020-04-14,73.67,10912000,73.69,74.33,72.66
2020-04-13,71.76,11191790,73.52,73.6,70.35
2020-04-09,73.88,19769560,71.2,74.255,70.14
2020-04-08,71.57,10417640,69.58,71.92,68.5377
2020-04-07,68.71,13799400,71.568,72.48,68.335
2020-04-06,67.79,18010770,66.27,68.34,64.41
2020-04-03,63.05,14676460,64.47,64.75,60.9
2020-04-02,65.0,18175040,65.75,68.7,62.91
2020-04-01,62.62,12880410,63.0,64.76,61.58
2020-03-31,65.74,20109800,67.18,68.32,65.31
2020-03-30,67.86,14199720,66.56,68.2199,64.58
2020-03-27,66.34,18950460,66.68,68.25,64.8202
2020-03-26,69.9,21005280,66.71,71.58,66.25
2020-03-25,65.81,22977190,66.83,69.64,63.4927
2020-03-24,64.88,28286190,62.61,65.16,61.0
2020-03-23,56.55,24905790,57.23,57.44,54.0
2020-03-20,58.03,28420580,62.3,65.68,57.91
2020-03-19,61.41,25167420,56.23,63.36,53.55
2020-03-18,56.33,28770620,55.55,57.65,50.02
2020-03-17,58.98,25045190,59.55,59.6199,53.61
2020-03-16,58.59,23354350,60.63,63.949,58.11
2020-03-13,69.92,19247180,65.65,70.18,63.51
2020-03-12,62.1,25170630,62.95399999999999,66.793,61.46
2020-03-11,68.3,17161370,72.83,74.27,67.4
2020-03-10,74.87,18414050,72.56,74.95,70.03
2020-03-09,70.83,15930310,70.58,74.03,70.08
2020-03-06,75.34,18080150,73.46,75.71,72.05
2020-03-05,76.19,12545270,77.9,77.9,75.28
2020-03-04,79.67,10999610,79.29,80.2,77.88
2020-03-03,78.6,12395890,82.3,82.615,78.11
2020-03-02,82.38,14258680,77.92,82.41,77.66
2020-02-28,78.43,19120250,76.17,78.81,75.72
2020-02-27,78.29,17120830,78.83,80.87,77.36
2020-02-26,80.67,10549300,82.6,83.24,80.64
2020-02-25,82.19,9403953,85.02,85.35,81.67
2020-02-24,84.52,8313643,84.53,86.0513,84.26
2020-02-21,87.36,5801705,88.0,88.39,87.0
2020-02-20,88.6,5969200,89.73,90.25,87.73
2020-02-19,90.14,5210834,89.49,90.435,89.3
2020-02-18,89.23,5291147,89.37,89.47,88.29
2020-02-14,89.28,5686868,90.18,90.4099,88.99
2020-02-13,89.925,8576615,88.5,90.505,88.26
2020-02-12,88.57,7747787,87.71,89.1,87.39
2020-02-11,87.51,5098622,87.86,88.2299,87.35
2020-02-10,87.53,7289281,86.43,87.6175,86.1675
2020-02-07,86.42,8073908,85.76,86.62,85.315
2020-02-06,86.15,8901403,87.65,87.695,86.15
2020-02-05,87.56,9982673,88.88,89.2,86.63
2020-02-04,88.38,9997071,87.14,89.0,86.62
2020-02-03,86.01,9092620,85.07,86.7863,85.07
2020-01-31,84.83,11693900,85.79,85.9924,84.52
2020-01-30,85.84,12224940,85.45,86.59,84.69
2020-01-29,86.72,17703900,88.15,88.44,85.6
2020-01-28,88.6,11922400,89.05,89.18799999999999,87.72
2020-01-27,88.73,11066490,88.63,89.45,87.55
2020-01-24,92.03,7815501,94.0,94.13,91.34
2020-01-23,93.75,6100777,91.92,93.85,90.74
2020-01-22,92.53,6157412,93.14,93.75,92.47
2020-01-21,92.53,7094559,92.83,93.595,92.19
2020-01-17,93.62,6962787,92.93,93.75,92.8099
2020-01-16,92.58,5180320,91.99,92.61,91.63
2020-01-15,91.54,6145518,91.0,92.06,91.0
2020-01-14,90.99,5855400,91.19,91.44,90.86
2020-01-13,91.08,7382968,90.62,91.715,90.21
2020-01-10,90.16,7098085,90.8,90.89,89.63
2020-01-09,90.53,9450166,90.25,91.16,90.07
2020-01-08,88.88,7297235,87.94,89.35,87.78
2020-01-07,87.86,6533541,87.96,88.03,87.13
2020-01-06,88.13,5409850,88.11,88.41,87.47
2020-01-03,88.83,4874916,88.66,89.1,88.1
2020-01-02,89.35,6475843,88.12,89.35,88.05
2019-12-31,87.92,4116734,87.44,87.99,87.31
2019-12-30,87.44,4656289,88.01,88.2,87.06
2019-12-27,88.13,4130878,88.11,88.46,87.69
2019-12-26,88.075,4180261,88.73,88.76,87.79
2019-12-24,88.52,1847770,88.2,88.5977,88.0
2019-12-23,88.23,4349884,88.62,88.85,88.175
2019-12-20,88.46,14271660,88.785,89.0,87.89
2019-12-19,88.52,6023454,87.83,88.585,87.58
2019-12-18,87.99,5859211,88.39,88.85,87.815
2019-12-17,88.13,7297423,88.87,88.97,87.47
2019-12-16,88.78,6706045,89.14,89.3,88.43
2019-12-13,88.67,6718109,88.02,88.7897,87.58
2019-12-12,88.21,10293870,88.0,88.8868,87.54
2019-12-11,86.59,4922698,86.26,86.8699,85.85
2019-12-10,86.04,7945126,86.5,87.465,85.91
2019-12-09,86.28,7170822,86.31,86.63,85.96
2019-12-06,86.32,8501814,85.03,86.53,85.03
2019-12-05,84.45,5171388,85.44,85.4826,84.32
2019-12-04,85.4,5940602,85.13,85.54,84.7048
2019-12-03,84.82,6077628,84.03,85.0,83.8213
2019-12-02,84.57,6428428,85.38,85.77,83.82
2019-11-29,85.43,3857027,85.91,86.73,85.25
2019-11-27,85.77,7506564,84.85,85.81,84.42
2019-11-26,84.56,7652316,84.13,84.65,84.0
2019-11-25,83.75,5450981,83.16,84.0,82.93
2019-11-22,83.02,6080782,82.69,83.39,82.66
2019-11-21,82.3,8300483,83.75,84.04,81.762
2019-11-20,83.6,6251318,83.54,84.49,82.98
2019-11-19,83.66,6010423,84.06,84.28,83.5708
2019-11-18,84.02,6433068,83.92,84.11,83.2505
2019-11-15,84.21,7537205,84.68,84.94,83.57
2019-11-14,84.38,5287433,84.1,84.52,83.8
2019-11-13,83.94,7439003,83.29,84.29,83.2
2019-11-12,83.32,8552693,82.69,83.976,82.605
2019-11-11,82.43,5832575,81.75,82.5312,81.37
2019-11-08,81.77,7088064,82.19,82.64,81.45
2019-11-07,81.95,7221382,83.06,83.29,81.84
2019-11-06,82.99,6365267,82.08,83.37,82.0
2019-11-05,81.89,7054400,82.34,82.34,81.0301
2019-11-04,82.37,8271187,83.3,83.435,81.9
2019-11-01,83.21,10658470,84.79,85.31,82.61
2019-10-31,84.56,14008810,86.71,87.22,83.28
2019-10-30,84.19,8731291,84.61,84.7,83.32
2019-10-29,84.13,5699093,83.81,84.63,83.64
2019-10-28,83.6,6653357,84.47,84.98,83.36
2019-10-25,83.38,5235296,83.21,83.565,82.63
2019-10-24,83.18,4632619,82.8,83.53,82.6605
2019-10-23,82.74,7186615,84.31,84.41,82.1262
2019-10-22,83.46,5806608,85.23,85.35,83.39
2019-10-21,85.35,5007111,86.0,86.24,85.0801
2019-10-18,86.03,4631218,86.35,86.75,85.52
2019-10-17,86.29,4397738,86.88,87.02,86.16
2019-10-16,86.71,3706830,86.53,86.83,86.045
2019-10-15,86.45,4722624,87.0,87.25,85.76
2019-10-14,86.62,4936604,86.5,87.68,86.4
2019-10-11,86.36,5621572,87.02,87.25,86.26
2019-10-10,85.96,4257671,85.91,86.0658,85.38
2019-10-09,85.85,4450259,85.37,86.17,85.28
2019-10-08,84.91,6386914,85.49,86.33,84.69
2019-10-07,85.85,4445596,85.71,86.16,85.49
2019-10-04,85.92,5891718,84.9,85.97,84.74600000000001
2019-10-03,84.67,6061699,84.3,84.91,83.61
2019-10-02,84.32,10036460,85.95,86.01,84.16
2019-10-01,86.51,6805628,88.63,88.89399999999999,86.45
2019-09-30,88.42,6650433,88.41,88.56,87.61
2019-09-27,88.37,5988453,90.3,90.3,87.79
2019-09-26,89.8,5531821,90.84,91.15,89.5
2019-09-25,90.35,5263768,89.94,90.61,89.02
2019-09-24,89.92,5688165,91.6,91.77,89.51
2019-09-23,90.81,4943643,90.32,91.16,89.93
2019-09-20,90.07,11241790,91.61,92.08,90.06
2019-09-19,91.56,4874742,90.99,92.1,90.3
2019-09-18,90.96,4559657,90.98,91.36,90.06
2019-09-17,90.75,6511690,89.67,91.46,89.65
2019-09-16,89.42,6339236,90.02,90.45,89.3769
2019-09-13,90.48,6972260,92.145,92.145,90.315
2019-09-12,92.06,6862165,92.16,93.315,91.77
2019-09-11,90.98,8406555,90.18,91.45,89.61
2019-09-10,90.35,12490900,93.81,93.88,89.3033
2019-09-09,94.16,6523299,95.8,95.93,93.74
2019-09-06,95.74,3991773,95.75,96.34,95.51
2019-09-05,95.56,5514796,96.54,96.96,95.17
2019-09-04,96.11,12937510,94.48,96.3258,93.03200000000001
2019-09-03,96.77,5150830,96.42,97.21,96.05
2019-08-30,96.56,5210451,98.14,98.14,96.105
2019-08-29,97.7,4514498,97.85,98.07,97.06
2019-08-28,97.07,4948761,96.23,97.21,96.0
2019-08-27,96.09,6540103,96.7,97.1,96.03
2019-08-26,96.5,5806558,95.38,96.5,95.0
2019-08-23,94.7,8077465,96.41,97.1,94.39
2019-08-22,96.49,5147125,96.59,96.85,95.7
2019-08-21,96.32,4740743,96.27,96.65,95.73
2019-08-20,95.63,6809918,96.35,97.12,95.59
2019-08-19,96.66,5325315,97.23,97.4071,96.2203
2019-08-16,96.52,5032916,96.29,96.83,95.8525
2019-08-15,95.53,5566890,95.5,96.27,94.61
2019-08-14,94.92,9989526,95.91,97.0238,94.87
2019-08-13,96.63,8938251,94.52,96.67,94.21
2019-08-12,94.91,5513811,95.78,96.02,94.3
2019-08-09,96.3,5209181,96.15,96.84,95.42
2019-08-08,96.27,7423616,95.23,96.4133,94.435
2019-08-07,95.22,6414046,94.6,95.7,94.17
2019-08-06,95.34,7437982,94.31,95.71,93.8
2019-08-05,93.7,8917441,94.51,95.52,93.03
2019-08-02,95.51,6381721,95.0,96.04,94.8
2019-08-01,95.38,8342662,95.0,97.58,94.58
2019-07-31,94.69,9912147,96.65,96.65,93.5
2019-07-30,96.65,7248270,97.5,98.275,96.52
2019-07-29,98.02,11184510,98.05,98.94,97.208
2019-07-26,99.11,20846460,96.4,99.72,95.21
2019-07-25,90.98,8106322,91.49,91.55,90.47
2019-07-24,90.65,5388138,89.9,90.75,89.68
2019-07-23,90.11,7609248,91.25,91.36,89.17
2019-07-22,90.92,5636657,90.52,91.18,90.05
2019-07-19,90.3,10804900,91.41,91.61,90.2342
2019-07-18,91.5,6471383,90.33,91.54,89.95
2019-07-17,90.25,4636215,90.08,90.38,89.7278
2019-07-16,90.08,5591855,90.22,90.48,89.59
2019-07-15,90.16,6061252,89.87,90.34,89.66
2019-07-12,89.77,5628010,89.28,89.82,88.85
2019-07-11,89.07,6191375,88.66,89.29,88.265
2019-07-10,88.38,5293013,87.42,88.54,87.42
2019-07-09,87.23,5355536,87.29,87.65,86.89
2019-07-08,87.44,6359676,87.6,87.95,87.18
2019-07-05,87.79,5733239,87.5,87.8855,86.88
2019-07-03,87.79,7818552,86.04,87.82,85.98
2019-07-02,85.51,6206087,84.74,85.59,84.52
