Date, Close/Last, Volume, Open, High, Low
2020-09-29,35.43,16503440,35.56,35.65,34.595
2020-09-28,35.56,22878430,35.8,36.625,35.26
2020-09-25,34.46,10736300,33.2,34.5,33.2
2020-09-24,33.35,16404060,33.66,34.0,32.89
2020-09-23,33.55,15796890,34.45,34.805,33.4
2020-09-22,34.4,28242760,36.53,36.55,34.1
2020-09-21,36.49,19100810,35.86,36.58,35.12
2020-09-18,37.12,68428610,37.15,37.565,36.39
2020-09-17,37.06,23534830,36.68,37.445,36.14
2020-09-16,37.66,21786590,37.39,38.52,37.39
2020-09-15,37.47,23532580,37.95,38.48,37.27
2020-09-14,37.95,28016040,37.1,38.0,37.08
2020-09-11,36.98,27130920,36.3,37.145,36.254
2020-09-10,35.98,35468320,35.2,36.78,35.19
2020-09-09,35.01,22803540,34.11,35.5,34.11
2020-09-08,34.32,33683490,32.36,35.1,32.16
2020-09-04,33.24,17480620,33.33,33.65,31.55
2020-09-03,33.41,17288820,34.08,34.74,32.95
2020-09-02,34.37,16552690,34.21,34.505,33.29
2020-09-01,34.3,16026170,33.45,34.51,33.145
2020-08-31,33.63,14980620,33.62,33.92,33.1401
